fact_date,tool_group_id,availability,performance,quality,oee,available_hours
2026-05-12,LITHO_01,0.9073,0.9203,0.9756,0.8146,261.3
2026-05-12,LITHO_02,0.8745,0.9165,0.9763,0.7825,125.93
2026-05-12,LITHO_03,0.8671,0.9839,0.9856,0.8409,83.24
2026-05-12,LITHO_04,0.8652,0.9479,0.9767,0.801,249.18
2026-05-12,LITHO_05,0.9387,0.9348,0.9789,0.859,225.29
2026-05-12,LITHO_06,0.9024,0.8572,0.9687,0.7493,173.26
2026-05-12,LITHO_07,0.8203,0.9257,0.9973,0.7573,59.06
2026-05-12,LITHO_08,0.99,0.9455,0.985,0.922,237.6
2026-05-12,ETCH_01,0.7899,0.8983,0.9721,0.6898,189.58
2026-05-12,ETCH_02,0.849,0.9133,0.9753,0.7562,244.51
2026-05-12,ETCH_03,0.781,0.9499,0.9693,0.7191,149.95
2026-05-12,ETCH_04,0.892,0.99,0.9708,0.8573,235.49
2026-05-12,ETCH_05,0.7535,0.9086,0.991,0.6785,36.17
2026-05-12,ETCH_06,0.9779,0.8708,0.985,0.8388,93.88
2026-05-12,ETCH_07,0.8567,0.9158,1.0,0.7846,143.93
2026-05-12,ETCH_08,0.8049,0.9301,0.9847,0.7372,96.59
2026-05-12,ETCH_09,0.9343,0.9239,0.9831,0.8486,156.96
2026-05-12,ETCH_10,0.8604,0.9308,0.9766,0.7821,165.2
2026-05-12,ETCH_11,0.9111,0.9052,0.9838,0.8114,153.06
2026-05-12,ETCH_12,0.8785,0.965,0.9795,0.8304,42.17
2026-05-12,DEPO_01,0.7913,0.9705,0.9709,0.7456,189.91
2026-05-12,DEPO_02,0.8473,0.8962,0.9937,0.7546,162.68
2026-05-12,DEPO_03,0.7732,0.99,0.9906,0.7583,111.34
2026-05-12,DEPO_04,0.8912,0.9178,0.9829,0.804,235.28
2026-05-12,DEPO_05,0.9061,0.9458,0.9856,0.8446,152.22
2026-05-12,DEPO_06,0.8845,0.9121,0.9785,0.7894,63.68
2026-05-12,DEPO_07,0.8703,0.9654,0.9859,0.8283,104.44
